Nom du site,Categorie,Adresse 1,Code Postal,Ville,Numero de telephone,Longitude,Latitude
Centre Socio Culturel d'Endoume,Maisons de quartiers,285 rue d'Endoume,13007,Marseille,04 91 52 08 63,5.35594508779853,43.2838240949142
Centre Municipal d'Animation (cma) de Saint Barnabe,Maisons de quartiers,29 rue Serie,13012,Marseille,04 91 85 20 89,5.41795749666613,43.3028769404226
Espace Canebiere,Maisons de quartiers,"6, 8 rue Senac",13001,Marseille,04 91 47 31 60,5.38333373451406,43.2978798025907
Maison de Quartier le Florida,Maisons de quartiers,1 Bd Auguste Comte,13010,Marseille,04 91 45 30 05,5.4280921457291,43.2817665246546
Maison des Associations,Maisons de quartiers,152 rue du Vallon des Auffes,13007,Marseille,,5.35075262989656,43.2855539532526
Centre Social Baussenque,Maisons de quartiers,34 rue Baussenque,13002,Marseille,04 91 91 29 59,5.3669288849211,43.29916275245
Maison de Quartier Girardin,Maisons de quartiers,22 rue Girardin,13007,Marseille,04 91 31 79 65,5.35774005482551,43.2897353236506
Maison des Arts,Maisons de quartiers,58 Corniche Kennedy,13007,Marseille,04 91 52 44 06,5.3521871005951,43.2877746927873
Centre Social les Escourtines,Maisons de quartiers,15 traverse de la Solitude,13011,Marseille,04 91 18 70 90,5.50212815936595,43.2813441359363
Centre Social la Capelette,Maisons de quartiers,221 avenue de la Capelette,13010,Marseille,04 91 79 66 01,5.40979831835439,43.2800506316388
Maison de Quartier Papety,Maisons de quartiers,7 rue Papety,13007,Marseille,04 91 52 04 88,5.35840126722943,43.2907166940091
Maison pour Tous (mpt) Panier Joliette,Maisons de quartiers,66 rue de l'Eveche,13002,Marseille,04 91 91 14 52,5.36674296871702,43.3001994374251
Centre d'Animation la Valentine,Maisons de quartiers,25 rue de l'Audience,13011,Marseille,04 91 27 14 95,5.48522461164937,43.2967091442895
Maison de Quartier les Lices,Maisons de quartiers,12 rue des Lices,13007,Marseille,04 91 31 29 24,5.36743023687518,43.2893084601581
Maison pour Tous (mpt) Vallee de l'Huveaune,Maisons de quartiers,4 rue Gimon,13011,Marseille,04 91 35 06 07,5.45643266478533,43.2871802795865
Maison pour Tous (mpt) Saint Barnabe,Maisons de quartiers,Rue Gustave Salicis,13012,Marseille,04 91 34 90 98,5.41906857538848,43.3026573996048
Centre Tivoli,Maisons de quartiers,66 cours Franklin Roosevelt,13005,Marseille,04 96 12 20 20,5.38914577921298,43.2987552020822
Maison de Quartier Malmousque,Maisons de quartiers,233 Corniche Kennedy,13007,Marseille,04 91 31 40 29,5.3512542286438,43.2818484910496
Maison pour Tous (mpt) Kleber,Maisons de quartiers,16 rue Desaix,13003,Marseille,04 91 62 82 40,5.3753347711763,43.3080195908844
Centre Social Julien,Maisons de quartiers,33 cours Julien,13006,Marseille,04 96 12 23 90,5.38333109718654,43.2946034503288
Centre Municipal d'Animation (cma) Maille,Maisons de quartiers,40/42 rue Antoine Maille,13005,Marseille,04 91 26 23 89,5.39388555376513,43.2856353860891
Centre Social Belsunce,Maisons de quartiers,16 rue Bernard Dubois,13001,Marseille,04 91 90 49 10,5.37654764407247,43.3012722745519
Centre Social Sainte Elisabeth,Maisons de quartiers,6 square Hopkinson,13004,Marseille,04 91 34 69 96,5.40991095444466,43.2988097336954
Maison de Quartier Baou de Sormiou,Maisons de quartiers,Traverse Colgate,13009,Marseille,04 91 25 11 73,5.40233055889197,43.231523072602
Maison de Quartier Saint Georges,Maisons de quartiers,49 rue Charras,13007,Marseille,04 91 31 68 06,5.3578317162292,43.2887221548408
Centre Fissiaux,Maisons de quartiers,2 avenue du Marechal Foch,13004,Marseille,04 91 86 45 45,5.39684101274532,43.3023556478163
Maison de Quartier Luminy,Maisons de quartiers,Rue Henri Cochet,13009,Marseille,04 91 41 26 45,5.42952917892652,43.2387970553425
Maison de Quartier le Redon,Maisons de quartiers,361 boulevard du Redon,13009,Marseille,04 91 26 75 08,5.42571642426039,43.2460044925526
Maison de Quartier les Baumettes,Maisons de quartiers,31 traverse de Rabat,13009,Marseille,04 91 40 34 40,5.41296453639068,43.237123819387
Centre Municipal d'Animation (cma) la Valbarelle,Maisons de quartiers,93 boulevard de la Valbarelle,13011,Marseille,04 91 35 05 88,5.44771534035328,43.2876016156555
Centre Municipal d'Animation (cma) Saint Pierre,Maisons de quartiers,333 rue Saint Pierre,13005,Marseille,04 91 42 17 69,5.40647191694309,43.291688716667
Centre Municipal d'Animation (cma) Tempo Sainte Anne,Maisons de quartiers,13 rue Thieux / 388 avenue de Mazargues,13008,Marseille,04 91 22 82 23,5.3937499648428,43.2582168103489
Centre d'Animation et de loisirs (cal) les Grands Carmes,Maisons de quartiers,2 rue des Grands Carmes,13002,Marseille,04 91 56 18 65,5.37291305863952,43.3014806640514
Centre Socio Culturel de Valmante,Maisons de quartiers,151 traverse de la Gouffonne Residence Valmante,13009,Marseille,04 91 82 33 95,5.41724483846718,43.246177203098
Centre Municipal d'Animation (cma) Tempo Vauban,Maisons de quartiers,114 boulevard Vauban,13006,Marseille,04 91 37 79 38,5.37751156338899,43.2857986375507
Maison de Quartier Saint Tronc,Maisons de quartiers,134 rue Francois Mauriac,13010,Marseille,04 91 74 18 14,5.42345603075077,43.2699301370002
Maison de Quartier Sainte Genevieve,Maisons de quartiers,211 boulevard Romain Rolland,13010,Marseille,04 91 78 20 98,5.4158516237416,43.2738043147948
Centre Social d'Air Bel la Pomme,Maisons de quartiers,Avenue Jean Lombard,13011,Marseille,04 91 35 27 92,5.43035358915044,43.2895516286875
Centre Municipal d'Animation (cma) Jeanne d'Arc Enfance,Maisons de quartiers,126 boulevard Jeanne d'Arc,13005,Marseille,04 91 92 73 03,5.40799650320955,43.2925217375749
Centre Municipal d'Animation (cma) Saint Marcel,Maisons de quartiers,216 boulevard de Saint Marcel,13011,Marseille,04 91 44 81 80,5.46875256685471,43.2858840748367
Centre Municipal d'Animation (cma) Tempo Pointe Rouge,Maisons de quartiers,1 parking des deriveurs,13008,Marseille,04 91 73 87 64,5.36778349331491,43.2427350438125
Maison de Quartier la Timone,Maisons de quartiers,49 avenue Benjamin Delessert,13010,Marseille,04 91 78 34 23,5.40325360671209,43.2844524680678
Espace Multi activites Velten,Maisons de quartiers,16 rue Bernard Du Bois,13001,Marseille,04 91 91 40 20,5.37630389685053,43.3014974877909
Centre Municipal d'Animation (cma) Madon,Maisons de quartiers,5 rue Madon,13005,Marseille,04 96 12 01 18,5.3997991786337,43.2947720345441
Centre Municipal d'Animation (cma) la Barasse,Maisons de quartiers,100 boulevard de la Barasse,13011,Marseille,04 91 36 28 01,5.48095254670957,43.2853833816502
Maison pour Tous (mpt) Chave Conception,Maisons de quartiers,107 rue Benoit Malon,13005,Marseille,04 91 94 54 32,5.3930962336641,43.2941360587143
Centre Municipal d'Animation (cma) Tempo Pastre,Maisons de quartiers,155 -157 avenue de Montredon,13008,Marseille,04 91 25 33 16,5.36726418782995,43.2366745501931
Maison des Arts et de la Culture,Maisons de quartiers,133 boulevard Sainte Marguerite,13009,Marseille,04 91 26 09 06,5.4077284052584,43.2677036982354
Centre Municipal d'Animation (cma) Tempo Montredon,Maisons de quartiers,2 traverse de la Marbrerie,13008,Marseille,04 91 72 37 82,5.35802991783641,43.2329623311164
Centre Municipal d'Animation (cma) Meridien,Maisons de quartiers,17 boulevard Jeanne d'Arc,13005,Marseille,04 91 47 20 07,5.39902287435408,43.2942690858431
Maison de Quartier le Trioulet,Maisons de quartiers,36 avenue Aviateur Le Brix,13009,Marseille,04 91 71 56 15,5.40336489997906,43.2611749078508
Centre Municipal d'Animation (cma) Tivoli,Maisons de quartiers,66 cours Franklin Roosevelt,13005,Marseille,04 96 12 03 45,5.3892619427634,43.2987659888111
Centre Social Culturel et Sportif Vallon des Auffes Pharo Catalans,Maisons de quartiers,91 rue du Vallon des Auffes,13007,Marseille,04 91 52 46 63,5.3540520605392,43.2848888960246
Centre d'Animation et de loisirs (cal) des Martegales,Maisons de quartiers,13 rue des Martegales,13002,Marseille,04 91 91 13 74,5.36537260289413,43.2968353227926
Centre Municipal d'Animation (cma) tempo falque,Maisons de quartiers,36 rue Falque,13006,Marseille,04 91 37 20 32,5.38135288296056,43.2840914513668
Maison de Quartier le Cabot,Maisons de quartiers,24 boulevard des Alisiers,13009,Marseille,04 91 82 03 92,5.41493812934054,43.2576428778377
Centre Social la Sauvagere Pont de Vivaux Saint Tronc,Maisons de quartiers,253 boulevard Romain Rolland,13010,Marseille,,5.41441045079026,43.2728478129297
Centre Social Mer et Colline,Maisons de quartiers,16 boulevard de la Verrerie,13008,Marseille,04 91 72 22 91,5.36076761816542,43.2339709516079
Maison pour Tous (mpt) la Pauline,Maisons de quartiers,296 boulevard Romain Rolland Square la Pauline,13009,Marseille,04 91 75 07 47,5.40926451936799,43.273464002476
Centre Municipal d'Animation (cma) la Rosiere Figone,Maisons de quartiers,40 avenue de la Rosiere,13012,Marseille,04 91 14 61 51,5.43529237006947,43.3056486000435
Maison pour Tous (mpt) Endoume Bompard,Maisons de quartiers,7 boulevard Marius Thomas,13007,Marseille,04 91 59 23 76,5.36081540027233,43.2849793984373
Centre Municipal d'Animation (cma) de la Grande Bastide Cazaulx,Maisons de quartiers,73 rue Saint Jean-du-Desert,13012,Marseille,04 91 93 51 64,5.43497677908476,43.2972526560886
Centre Municipal d'Animation (cma) Tempo Sylvabelle,Maisons de quartiers,69/71 rue Sylvabelle,13006,Marseille,04 91 53 03 69,5.3771212950165,43.2887331709573
Centre Municipal d'Animation (cma) Beausoleil,Maisons de quartiers,120 boulevard Roux Prolonge,13004,Marseille,04 91 85 28 67,5.40949614919717,43.3072970654737
Centre d'Animation et de loisirs (cal) du Refuge,Maisons de quartiers,25 rue du Refuge,13002,Marseille,04 91 90 00 03,5.36764391800067,43.2988369238414
Maison pour Tous (mpt) la Blancarde,Maisons de quartiers,19 traverse de la Trevaresse,13012,Marseille,04 91 34 59 02,5.40956493416942,43.2963228371496
Centre Socio Culturel Saint Giniez Milan,Maisons de quartiers,38 rue Raphael Ponson,13008,Marseille,04 91 77 93 05,5.38772535853537,43.2656343422861
Centre Municipal d'Animation (cma) Chartreux,Maisons de quartiers,108 boulevard Francoise Duparc,13004,Marseille,04 91 49 49 10,5.4011526287047,43.3063706468445
Maison pourTous (mpt) Ifac Corderie,Maisons de quartiers,33 boulevard de la Corderie,13007,Marseille,04 96 11 27 30,5.36953230733736,43.2901897125929
Maison des Jeunes et de la Culture (mjc) Vieux Port Corderie,Maisons de quartiers,13 rue Plan Fourmiguier,13007,Marseille,04 91 54 22 12,5.36806160075674,43.2919875392454
Centre Municipal d'Animation (cma) Vallier,Maisons de quartiers,10 rue de la Visitation,13004,Marseille,04 91 49 10 24,5.40223485538102,43.3011089539038
Centre Social la Rouguiere,Maisons de quartiers,99 allee de la Rouguiere,13011,Marseille,04 91 44 37 16,5.45619959262063,43.2977942922841
Maison pour Tous (mpt) Centre Social de Bonneveine,Maisons de quartiers,70 avenue Andre Zenatti,13008,Marseille,04 91 73 14 59,5.38724049196576,43.246231100273
Centre Socio Culturel Roy d'Espagne,Maisons de quartiers,16 allee Albeniz,13008,Marseille,04 91 73 39 82,5.38542925276591,43.2423257321052
Maison pour Tous (mpt) les Camoins,Maisons de quartiers,Chemin des Mines,13011,Marseille,04 91 27 06 92,5.51262644119874,43.3034433096539
Centre Municipal d'Animation (cma) Tempo Cadenelle,Maisons de quartiers,15 avenue de la Cadenelle,13008,Marseille,04 91 22 86 80,5.38200306486134,43.268202608159
Maison de Quartier Joseph Aiguier,Maisons de quartiers,30 chemin Joseph Aiguier,13009,Marseille,04 91 75 50 98,5.40962900024588,43.2524753206972
Centre Municipal d'Animation (cma) des Caillols,Maisons de quartiers,40 Chemin des Campanules,13012,Marseille,04 91 93 60 27,5.44836022763166,43.3002712436098
Centre Municipal d'Animation (cma) Hopkinson,Maisons de quartiers,52 rue Beau,13012,Marseille,04 91 34 03 83,5.40970160878556,43.3002481915958
Centre Municipal d'Animation (cma) Tempo Rouet,Maisons de quartiers,Angle rues Renzo-De Benedetti,13008,Marseille,04 91 79 19 40,5.39430164076268,43.2772996523458
Maison de Quartier du Roucas Blanc,Maisons de quartiers,232 chemin du Roucas Blanc,13007,Marseille,04 91 31 65 12,5.368493822001,43.2802320310126
Centre Municipal d'Animation (cma) des Liberateurs,Maisons de quartiers,174 boulevard des Liberateurs,13012,Marseille,04 91 93 05 89,5.4523514175812,43.3032292639255
Centre d'Animation Estaque gare,Maisons de quartiers,39 rue Lepelletier,13016,Marseille,04 91 46 25 83,5.32123686841379,43.3624811171414
Centre Social Saint Mauront Bellevue,Maisons de quartiers,143 rue Felix Pyat,13003,Marseille,04 91 98 79 79,5.37466454125203,43.3183999520667
Centre d'Animation Trupheme,Maisons de quartiers,23 boulevard Trupheme,13014,Marseille,04 91 58 58 70,5.37545581036209,43.3247168316519
Centre d'Animation Estaque Riaux,Maisons de quartiers,2 place du Centre,13016,Marseille,04 91 46 02 48,5.30633164481271,43.363554701364
Centre d'Animation les Aygalades,Maisons de quartiers,28 boulevard de la Padouane,13015,Marseille,04 91 60 77 94,5.36683889761982,43.3525961221994
Centre le Ginestet,Maisons de quartiers,26 avenue de Valdonne,13013,Marseille,04 91 06 54 17,5.41604125482763,43.3250279341544
Centre d'Animation Pelabon,Maisons de quartiers,10 place Pelabon,13013,Marseille,04 91 06 12 30,5.4199627931423,43.3308667000654
Centre d'Animation Verduron Bas,Maisons de quartiers,11 allee des Vignes,13015,Marseille,04 91 51 71 34,5.34624858886442,43.3710357566242
Centre Social del Rio,Maisons de quartiers,38 avenue de la Viste,13015,Marseille,04 91 60 57 27,5.35744317885259,43.3555222476799
Centre Social Saint Joseph,Maisons de quartiers,40-42 chemin de Fontainieu,13014,Marseille,04 91 65 88 90,5.37931188050606,43.3494601147995
Centre d'Animation Sainte Marthe,Maisons de quartiers,2 rue Berthelot,13014,Marseille,04 91 02 26 47,5.39224056097604,43.3370486192248
Centre Social Saint Just la Solitude,Maisons de quartiers,189 avenue Corot,13014,Marseille,04 91 67 14 75,5.39959084764286,43.3255686617697
Centre d'Animation la Calade,Maisons de quartiers,2 boulevard Ledru Rollin,13015,Marseille,04 91 60 69 37,5.35667791187195,43.3397810721211
Centre d'Animation Malpasse,Maisons de quartiers,Avenue de Saint-Paul,13013,Marseille,04 91 66 13 07,5.40391315468268,43.3285331081343
Centre d'Animation Perrin,Maisons de quartiers,41 boulevard Perrin,13013,Marseille,04 91 70 05 18,5.40753627759465,43.3190009252328
Centre d'Animation le Chalet,Maisons de quartiers,20 impasse Vert Clos,13015,Marseille,04 91 65 66 34,5.35918944791253,43.3734360001603
Centre Social Saint Jerome la Renaude,Maisons de quartiers,30 boulevard Herodote,13013,Marseille,04 91 66 85 97,5.41470137919915,43.3365808191743
Centre Kalliste la Graniere,Maisons de quartiers,Residence la Graniere - Chemin des Bourrelly,13015,Marseille,04 91 51 15 97,5.36492229976935,43.3852741199707
Centre d'Animation Busserine,Maisons de quartiers,48 rue Mahboubi,13014,Marseille,04 91 98 37 44,5.39560649848197,43.3335672640719
Centre Social val plan Begude,Maisons de quartiers,14 rue Antonin Regnier,13013,Marseille,04 91 70 13 39,5.43555182366377,43.3339179385017
Centre d'Animation le Merlan,Maisons de quartiers,63 avenue du Merlan,13014,Marseille,04 91 63 20 75,5.40727015100354,43.3373033917443
Centre d'Animation les Crottes,Maisons de quartiers,36 rue de Lyon,13015,Marseille,04 91 84 54 64,5.36755522358233,43.3244740713245
Centre d'Animation Denis Papin,Maisons de quartiers,8 boulevard Papin,13015,Marseille,04 91 58 01 50,5.36320730935832,43.3343394333336
Centre d'Animation Font Obscure,Maisons de quartiers,50 avenue Prosper Merimee,13014,Marseille,04 91 98 08 37,5.40175009707758,43.329244479312
Maison pour Tous Centre Social et Culturel la Solidarite,Maisons de quartiers,Chemin de la Bigotte Bat.H - La Solidarite,13015,Marseille,04 91 65 01 06,5.37059285234895,43.3870833787819
Centre d'Animation et de loisirs (cal) Fonscolombes,Maisons de quartiers,7 rue Andre Chamson,13003,Marseille,04 91 50 87 69,5.37309144568854,43.3116353347851
Centre d'Animation Saint Mitre,Maisons de quartiers,40 chemin de Saint Mitre a Four de Buze,13013,Marseille,04 91 70 26 82,5.41759131364838,43.3436495694075
Centre d'Animation Saint Just Bellevue,Maisons de quartiers,58 avenue Corot,13013,Marseille,04 91 06 21 24,5.40706702260512,43.3226138062232
Centre Social de Bois Lemaitre,Maisons de quartiers,Avenue Roger Salzmann Villa Emma,13012,Marseille,04 91 93 26 69,5.43090833115985,43.3230035958818
Centre d'Animation Saint Henri,Maisons de quartiers,113 rue Rabelais,13016,Marseille,04 91 46 06 40,5.33325553498956,43.3590471559507
Maison pour tous Frais vallon,Maisons de quartiers,48 avenue de Frais Vallon Batiment E,13013,Marseille,04 91 66 09 80,5.42665143224029,43.3246745062057
Centre d'Animation la Marine Bleue,Maisons de quartiers,Boulevard Charles Moretti,13014,Marseille,04 91 98 22 73,5.38429677475797,43.3251937116966
Centre Municipal d'Animation (cma) de Beaumont,Maisons de quartiers,194 rue Charles Kaddouz,13012,Marseille,04 91 93 78 97,5.43648346958658,43.3166075516441
Maison pour Tous (mpt) les Trois Lucs,Maisons de quartiers,21 traverse de la Malvina,13012,Marseille,04 91 88 74 36,5.46432548757669,43.314926161847
Centre Municipal d'Animation (cma) la Batarelle,Maisons de quartiers,1 chemin des Grives,13014,Marseille,04 91 63 20 84,5.41558424919814,43.3520324579737
Centre d'Animation Jean Jaures,Maisons de quartiers,Immeuble Jean Jaures 14 traverse des Arnavaux,13014,Marseille,04 91 98 53 31,5.38085508166297,43.3323127151779
Centre Social Echelle Treize la Rose Rollandin,Maisons de quartiers,203 chemin Notre-Dame de la Consolation,13013,Marseille,04 91 12 21 60,5.43275245386347,43.3367809233829
Centre Social Saint Louis Campagne Leveque,Maisons de quartiers,2 boulevard Ledru Rollin - Campagne Leveque,13015,Marseille,04 91 60 61 92,5.35876356409294,43.3424814249667
Centre d'Animation scientifique et technique les Domaines,Maisons de quartiers,55 traverse Charles Susini,13013,Marseille,04 91 70 21 43,5.41684475953013,43.3373937680791
Centre Social la Martine,Maisons de quartiers,Boulevard du Bosphore Groupe La Martine,13015,Marseille,04 91 65 59 03,5.36300674868334,43.3697073947273
Centre d'Animation Saint Jerome,Maisons de quartiers,32 avenue de Saint-Jerome,13013,Marseille,04 91 66 43 12,5.41905090895265,43.329176545704
Centre d'Animation et de loisirs (cal) Saint Mauront,Maisons de quartiers,26 rue Felix Pyat,13003,Marseille,04 91 50 89 32,5.3763678428052,43.3143017214532
Centre Municipal d'Animation (cma) Chutes Lavie,Maisons de quartiers,10 boulevard Anatole France,13004,Marseille,04 91 50 14 50,5.39912409630678,43.3141255118953
Centre Social les Lierres,Maisons de quartiers,42 avenue du 24 avril 1915 Cite des Lierres,13012,Marseille,04 91 88 01 00,5.42918715271804,43.3076586829885
Centre Municipal d'Animation (cma) Velten,Maisons de quartiers,Impasse Velten,13004,Marseille,04 91 64 17 20,5.40016033820803,43.3136879382169
Centre Social Frais Vallon (agesoc),Maisons de quartiers,53 avenue de Frais Vallon Batiment N,13013,Marseille,04 91 66 79 35,5.42888782337541,43.3255615149156
Centre Social Maison pour Tous (mpt) Belle de Mai,Maisons de quartiers,1 et 6 boulevard Boyer,13003,Marseille,04 91 62 55 05,5.38582268812944,43.3125631011741
Centre Social Malpasse,Maisons de quartiers,7 avenue Saint Paul,13013,Marseille,04 91 66 61 59,5.40989312833427,43.3263093845819
Centre Municipal d'Animation (cma) Saint Louis,Maisons de quartiers,24 chemin vicinal de Saint Louis au Rove,13015,Marseille,04 91 60 76 14,5.35731733265389,43.3484639849626
Centre Socio Culturel et Sportif les Rosiers,Maisons de quartiers,21 traverse des Rosiers,13014,Marseille,04 91 98 12 41,5.3886557434187,43.3218056925717
Centre Social les Bourrely,Maisons de quartiers,34 rue du Vallon d'Ol,13015,Marseille,04 91 51 03 47,5.36276713291041,43.3842309965111
Centre Social Familial Saint Gabriel Bon Secours,Maisons de quartiers,12 rue Richard BP 103,13014,Marseille,04 91 67 32 03,5.38358742400612,43.3235374439036
Centre Municipal d'Animation (cma) Boulle,Maisons de quartiers,4 rue Henri Boulle,13004,Marseille,04 91 49 07 98,5.40469029643593,43.3095900560903
Centre de Culture Ouvriere (cco) la Bricarde,Maisons de quartiers,159 boulevard Henri Barnier Batiment K,13015,Marseille,04 91 51 31 76,5.34746166625622,43.370804670525
Centre Municipal d'Animation (cma) Federation,Maisons de quartiers,14 boulevard Meyer,13004,Marseille,04 91 49 11 95,5.40341759912868,43.3132482160791
Centre Socio Culturel la Marie,Maisons de quartiers,50 boulevard Fournacle – Cite la Marie,13013,Marseille,04 91 05 32 70,5.45710783065336,43.3307503511996
Centre Social la Castellane,Maisons de quartiers,216 boulevard Henri Barnier,13016,Marseille,04 91 46 04 39,5.3430297992259,43.3659630317544
Centre d'Animation canet larousse,Maisons de quartiers,Le Massalia - boulevard Larousse,13014,Marseille,04 91 67 59 69,5.37947510589006,43.3302509685069
Centre d'Animation la Maurelle,Maisons de quartiers,81 avenue de la Maurelle,13013,Marseille,04 91 70 25 51,5.44054561057366,43.3223333290887
Centre d'Animation Saint Joseph,Maisons de quartiers,72 rue Paul Coxe,13014,Marseille,04 91 55 41 97,5.37897095841262,43.3459274484991
Centre d'Animation Frais Vallon,Maisons de quartiers,Ex Cite commerciale de Frais Vallon,13013,Marseille,04 91 66 10 72,5.42825308349948,43.3244954128497
Centre d'Animation Chateau Gombert,Maisons de quartiers,17 avenue Paul Dalbret,13013,Marseille,04 91 68 52 31,5.44257455297211,43.3515784444123
Centre municipal d'animation (cma) du petit bosquet,Maisons de quartiers,213 avenue de Montolivet,13012,Marseille,04 91 66 10 78,5.4132693101094,43.3138419337131
Centre d'Animation Saint Pol-Roux,Maisons de quartiers,7 traverse des Muriers,13016,Marseille,04 91 09 32 32,5.35825438478074,43.3355171066555
Centre Social la Garde,Maisons de quartiers,11 boulevard du Metro – Cite la Garde,13013,Marseille,04 91 70 05 78,5.42864489377787,43.3341631430716
Centre Social du Grand Saint Antoine,Maisons de quartiers,12 Boulevard du Commandant Robert Thollon,13015,Marseille,04 91 51 55 93,5.35353089677441,43.3690218070249
Centre Culturel Mirabeau,Maisons de quartiers,5 impasse Albarel Malavasi,13015,Marseille,04 91 60 05 15,5.34536332616293,43.3472538917441
Maison des Associations de L'Estaque,Maisons de quartiers,90 plage de l'Estaque,13016,Marseille,04 91 09 29 93,5.3131387862916,43.3609608458888
Centre d'Animation Bon Secours,Maisons de quartiers,1 Traverse Paul Converset,13014,Marseille,04 91 50 10 23,5.38706845081943,43.3161310786513
Centre Social culturel et sportif des Aygalades (mpt) l'Olivier Bleu,Maisons de quartiers,Traverse de l'Ecole de l'Oasis,13015,Marseille,04 91 60 87 72,5.3682408505837,43.353425827199
La maison du logement,La Maison du Logement,76 rue de la Republique,13002,Marseille,,5.37009074111612,43.3018695989669
Espace Services Aines Eveche,Espaces Services Aines,62 rue de l'Eveche,13002,Marseille,04 91 90 02 25,5.36667870113159,43.3004841911658
Espace Services Aines Leon Perrin,Espaces Services Aines,7 rue Leon Perrin,13003,Marseille,04 91 05 88 51,5.38640796190796,43.3135531375196
Espace Services Aines Chartreux,Espaces Services Aines,3 boulevard de la Federation,13004,Marseille,04 91 03 15 30,5.40208490014172,43.3106238253663
Espace Services Aines Saint Lambert,Espaces Services Aines,7 rue Sauveur Tobelem,13007,Marseille,04 91 52 25 99,5.36586551722412,43.2887515534137
Espace Services Aines Mazargues,Espaces Services Aines,75 boulevard de la Concorde,13009,Marseille,04 91 40 01 74,5.40101000572898,43.24816864429
Espace Services Aines Saint Tronc,Espaces Services Aines,273 boulevard Paul Claudel,13010,Marseille,04 91 74 30 00,5.42262499596422,43.2700700055534
Espace Services Aines Crillon,Espaces Services Aines,35 rue Crillon,13005,Marseille,04 91 18 42 43,5.39689595284392,43.2922906319614
Espace Services Aines Saint Louis,Espaces Services Aines,142 route nationale de Saint Louis,13015,Marseille,04 91 03 15 30,5.35903927263048,43.3477162722524
Cite des metiers,Cite des metiers,4-10 rue des Consuls,13002,Marseille,04 96 11 62 70,5.37263523988069,43.2970632378159
